Newport,Newport,BayArea,BayArea,Newport,BayArea
Fst_hist,Fst_Mod,Fst_hist,Fst_Mod,deltaFst,deltaFst
-0.038461538,0,-0.021406527,-0.024343023,0.038461538,-0.002936496
-0.038461538,-0.033939394,-0.021335777,-8.05E-05,0.004522144,0.021255277
-0.038461538,0,-0.021335777,-8.05E-05,0.038461538,0.021255277
-0.038461538,0,-0.02130408,0.047013007,0.038461538,0.068317087
-0.038461538,-0.029411765,-0.02130408,0.047013007,0.009049773,0.068317087
-0.038461538,-0.029411765,-0.021280337,0.003774387,0.009049773,0.025054724
-0.038461538,-0.02390169,-0.021280337,0.003774387,0.014559848,0.025054724
-0.038461538,-0.02390169,-0.021276127,0.001176018,0.014559848,0.022452145
-0.038461538,0,-0.021276127,0.001176018,0.038461538,0.022452145
-0.038461538,0,-0.021270522,-0.01060399,0.038461538,0.010666532
-0.038461538,0.04,-0.021260384,-0.010034997,0.078461538,0.011225387
-0.038461538,0.04,-0.021260384,-0.010034997,0.078461538,0.011225387
-0.038461538,0.04,-0.021258202,-0.022174166,0.078461538,-0.000915964
-0.038461538,0.04,-0.021258202,-0.022174166,0.078461538,-0.000915964
-0.038461538,0,-0.021223603,0.040184324,0.038461538,0.061407927
-0.038461538,-0.020707214,-0.021223603,-0.021485285,0.017754324,-0.000261682
-0.038461538,-0.020707214,-0.021223603,-0.021485285,0.017754324,-0.000261682
-0.038461538,-0.043478261,-0.021223603,-0.023255814,-0.005016723,-0.002032211
-0.038461538,-0.043478261,-0.021201646,0.174905968,-0.005016723,0.196107614
-0.038461538,0,-0.021192809,0.004516003,0.038461538,0.025708812
-0.038461538,0,-0.021192809,0.004516003,0.038461538,0.025708812
-0.038461538,0.04,-0.021192809,0.042089436,0.078461538,0.063282245
-0.038461538,0.015197568,-0.021192809,0.042089436,0.053659106,0.063282245
-0.038461538,0.02310559,-0.021192809,0.032786885,0.061567128,0.053979694
-0.038461538,-0.021768707,-0.021192809,0.032786885,0.016692831,0.053979694
-0.038461538,0.048,-0.021185705,0.021435098,0.086461538,0.042620803
-0.038461538,0.048,-0.021185705,0.021435098,0.086461538,0.042620803
-0.038461538,0.04,-0.021126289,-0.004239683,0.078461538,0.016886606
-0.038461538,0.04,-0.021126289,-0.004239683,0.078461538,0.016886606
-0.038461538,0.064,-0.021055645,0.005423729,0.102461538,0.026479374
-0.038461538,0.064,-0.021055645,0.005423729,0.102461538,0.026479374
-0.038461538,0,-0.021040991,0,0.038461538,0.021040991
-0.038461538,0.021687552,-0.021040991,0,0.06014909,0.021040991
-0.038461538,0,-0.021021251,0.037311146,0.038461538,0.058332397
-0.038277512,0.112492997,-0.021021251,0.037311146,0.150770509,0.058332397
-0.038071719,0.026666667,-0.020951257,3.97E-05,0.064738386,0.020990957
-0.038071719,0.026666667,-0.020951257,3.97E-05,0.064738386,0.020990957
-0.038071719,0.042350031,-0.020887242,-0.027667901,0.08042175,-0.006780659
-0.038071719,0.05811138,-0.020887242,-0.027667901,0.096183099,-0.006780659
-0.038071719,0.05811138,-0.020887242,0.041847988,0.096183099,0.06273523
-0.038071719,0.05811138,-0.020887242,0.037280074,0.096183099,0.058167316
-0.03804967,0.015197568,-0.020887242,0.041847988,0.053247238,0.06273523
-0.03804967,0.015197568,-0.020887242,0.037280074,0.053247238,0.058167316
-0.037968822,0.054375,-0.020855424,-0.026803279,0.092343822,-0.005947855
-0.037968822,0.054375,-0.020833555,0.055977609,0.092343822,0.076811164
-0.037914118,0.098630137,-0.020833555,0.055977609,0.136544255,0.076811164
-0.037914118,0.098630137,-0.020829976,0.109497547,0.136544255,0.130327523
-0.037914118,0.178924731,-0.020809235,-0.010027643,0.216838849,0.010781592
-0.037914118,0.178924731,-0.020805648,0.049180328,0.216838849,0.069985976
-0.037914118,0.047619048,-0.020805648,0.032786885,0.085533166,0.053592533
-0.037914118,-0.020707214,-0.020805648,-0.001091539,0.017206904,0.019714109
-0.037914118,-0.020707214,-0.020805648,-0.001091539,0.017206904,0.019714109
-0.037914118,0.2,-0.020805648,0.015240779,0.237914118,0.036046427
-0.037914118,0.2,-0.020805648,0.081967213,0.237914118,0.102772861
-0.037914118,0.095238095,-0.020805648,0.081967213,0.133152213,0.102772861
-0.037914118,0.095238095,-0.020805648,-0.023255814,0.133152213,-0.002450166
-0.037914118,0.035899919,-0.020805648,-0.010570492,0.073814037,0.010235156
-0.037914118,0.033462033,-0.020805648,-0.010570492,0.071376151,0.010235156
-0.037799043,-0.042770563,-0.020805648,0.032786885,-0.00497152,0.053592533
-0.037799043,-0.042770563,-0.020805648,-0.002013392,-0.00497152,0.018792256
-0.037799043,0.08,-0.020805648,0.081804511,0.117799043,0.102610159
